epsilon_over_mass_per_kg,floquet_growth_per_tau,stable,mode_analysis_success,worst_b1_over_b0,worst_b2_over_b1,worst_b2_over_b0,max_abs_beta,pseudopotential_valid,classification,classification_label
1.0000000000000000e+08,0.0000000000000000e+00,True,True,1.3749676601094372e-16,0.0000000000000000e+00,5.7468029468403125e-17,5.4073112249189657e-10,True,2,Stable; pseudopotential valid
1.6862377150166403e+10,3.6693505732035901e-09,True,True,1.8347213469103649e-09,5.0003768456830699e-01,9.1742981413710443e-10,2.7656579932872229e-09,False,1,Stable; pseudopotential not valid
1.7839818590720543e+10,6.0212069611195578e-09,True,True,3.0106798625295075e-09,5.0003769869368830e-01,1.5054534299626848e-09,2.8446857088450070e-09,False,1,Stable; pseudopotential not valid
1.8873918221350994e+10,2.2180624252882998e-09,True,True,1.1090596927323500e-09,5.0003772798122403e-01,5.5457168894943870e-10,2.9259716138974665e-09,False,1,Stable; pseudopotential not valid
1.9967960280242733e+10,2.7725249846116482e-09,True,True,1.3862974343939848e-09,5.0003761551418091e-01,6.9320086348779480e-10,3.0095802354242462e-09,False,1,Stable; pseudopotential not valid
2.1125419379125225e+10,3.6589942632060023e-09,True,True,1.8295429712983299e-09,5.0003761263985724e-01,9.1484029959004764e-10,3.0955779442410114e-09,False,1,Stable; pseudopotential not valid
2.2349971538429688e+10,4.9626945625708993e-09,True,True,2.4814080113529325e-09,5.0003765818356982e-01,1.2407974509948695e-09,3.1840319500520255e-09,False,1,Stable; pseudopotential not valid
2.3645505862109028e+10,3.1116360750099103e-09,True,True,1.5558571663455389e-09,5.0003767366104090e-01,7.7798719800828232e-10,3.2750156438145096e-09,False,1,Stable; pseudopotential not valid
2.5016136889197826e+10,2.4879769451017567e-09,True,True,1.2440188317677921e-09,5.0003768568673279e-01,6.2205629758787969e-10,3.3685980771359345e-09,False,1,Stable; pseudopotential not valid
2.6466217661340668e+10,3.6224433999036728e-09,True,True,1.8112676685640395e-09,5.0003762286109266e-01,9.0570197935391581e-10,3.4648545959515112e-09,False,1,Stable; pseudopotential not valid
2.8000353547790291e+10,3.1563633669070430e-09,True,True,1.5782215974448052e-09,5.0003755095256630e-01,7.8917002411203669e-10,3.5638615165715778e-09,False,1,Stable; pseudopotential not valid
2.9623416871783569e+10,8.2679649797793021e-11,True,True,4.1340734959066877e-11,5.0004453764268963e-01,2.0672208698415571e-11,3.6656977179980575e-09,False,1,Stable; pseudopotential not valid
3.1340562384746208e+10,2.9047795149867618e-09,True,True,1.4524270165437518e-09,5.0003766306679487e-01,7.2626821112761458e-10,3.7704437554840346e-09,False,1,Stable; pseudopotential not valid
3.3157243637473301e+10,2.6656615287820130e-09,True,True,1.3328647917709276e-09,5.0003767098726615e-01,6.6648231859912998e-10,3.8781828748395832e-09,False,1,Stable; pseudopotential not valid
3.5079230300278831e+10,2.6219214809809257e-09,True,True,1.3109939836670525e-09,5.0003760882532056e-01,6.5554624603882914e-10,3.9890006020704368e-09,False,1,Stable; pseudopotential not valid
3.7112626487120537e+10,2.5743345169782360e-09,True,True,1.2872001856592228e-09,5.0003768937821358e-01,6.4364860660424528e-10,4.1029849073261986e-09,False,1,Stable; pseudopotential not valid
3.9263890141898941e+10,3.1507502533818131e-09,True,True,1.5754148748450241e-09,5.0003790228406808e-01,7.8776714924462361e-10,4.2202259565779065e-09,False,1,Stable; pseudopotential not valid
